,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
377,,,Turlock ,,,,,,,,,,,36,37.50609806,-120.8528115,16.54368782,17.77433062,67104.15872,73722.15656,60576.21691,71028.42879,63233.49437,16.20032,12.63262,12.0796,14.9628,11.16409969
378,,,Tuscaloosa ,,,,,,,,,,,471,33.19956413,-87.55356694,17.75007343,17.96347189,57182.06445,135732.4251,118698.5152,120089.8884,112109.4354,20.32126,15.1137,11.66942,11.4865,14.61019993
379,,,Utica ,,,,,,,,,,,964,43.09479796,-75.25198872,7.036458611,7.686012149,57208.4709,157653.6015,135018.4166,115973.4229,106062.3391,12.96258,10.771846,8.913726,8.93451,8.29693985
380,,,Vacaville ,,,,,,,,,,,30,38.34685897,-121.9694469,15.84672594,16.96158934,76952.19238,187740.0085,162588.6218,195856.1588,175837.589,13.54484,10.6364,10.446202,12.00745,4.986030102
381,,,Victorville ,,,,,,,,,,,54,34.47192121,-117.3479744,13.97738051,14.81475878,65263.50793,129301.9827,116282.5234,167648.9608,153145.7654,10.67464,10.393722,9.159874,11.0788,7.575520039
59,VA,Virginia Beach,Virginia Beach,5182000,437994,5.7,8.5,4.8,5.1,11.4,10.1,36.75345933,-76.05895795,,,,,,,,,,,,,,,
60,VA,Norfolk,Virginia Beach,5157000,242803,4.7,9.6,5.1,5.8,13.1,11.4,36.8932863,-76.25671578,,,,,,,,,,,,,,,
61,VA,Chesapeake,Virginia Beach,5116000,222209,5.8,9,5.3,5.7,11.7,10.8,36.67775211,-76.30243259,,,,,,,,,,,,,,,
382,,,Virginia Beach ,,,,,,,,,,,847,36.84947257,-76.22371144,15.90943766,16.09788299,832250.0823,8359050.328,8276028.375,8458426.118,6721574.172,17.55418,13.06454,9.964072,9.49669,8.035260201
383,,,Visalia ,,,,,,,,,,,48,36.32739672,-119.3271873,17.68333769,18.45828629,117576.3356,221291.7397,192970.2136,222464.2267,204926.1567,20.92724,15.95514,14.439,18.65735,8.047430038
384,,,Waco ,,,,,,,,,,,309,31.53420835,-97.16518207,19.17864704,19.96750736,101897.3555,666236.1816,610226.5808,590862.5253,505232.9456,16.5249,11.195408,8.751856,9.869145,17.63489914
44,DC,Washington,Washington,1150000,601723,4.8,10.1,4.3,5.1,11,9,38.90992414,-77.01472057,855,38.9228404,-77.14196317,14.64114547,14.69545531,3368613.481,32212600.58,28657231.96,28739967.12,22866016.01,17.88728,14.33282,10.86924,10.74729,5.990019798
385,,,Waterbury ,,,,,,,,,,,982,41.5604521,-73.03874947,9.801427603,10.1999619,96336.38968,719512.1448,611636.8571,552144.4834,464884.636,13.17202,10.812202,8.51275,9.25968,7.146719933
386,,,Waterloo ,,,,,,,,,,,513,42.49714346,-92.37340541,9.010846853,9.189387918,78087.96705,193690.7377,184534.4919,197747.1242,165825.6864,16.19234,13.3248,11.17466,12.75315,7.439809799
387,,,Watsonville ,,,,,,,,,,,9,36.91958872,-121.7646884,14.01368928,15.27411008,54993.66046,82720.87095,70669.41948,86312.24573,77058.61682,13.89084,11.32702,11.277852,12.48155,1.51970005
388,,,West Chester ,,,,,,,,,,,903,39.97344054,-75.57687341,12.73072886,12.55033135,53937.08044,140702.7937,131532.2407,143915.8942,127383.6771,17.99958,14.15558,10.869578,10.569085,7.76060009
72,KS,Wichita,Wichita,2079000,382368,6.2,9.7,6.5,6.6,12.2,11.8,37.69056148,-97.34293668,,,,,,,,,,,,,,,
389,,,Wichita ,,,,,,,,,,,383,37.68333134,-97.30966899,14.24783826,14.66271544,272839.4884,2669113.143,2318216.829,2116498.797,1908429.439,12.96764,10.425016,8.977016,9.254625,11.04090023
91,NC,Winston-Salem,Winston-Salem,3775000,229617,6,9.2,6.5,7,14.1,12.9,36.1029453,-80.26098892,733,36.09411387,-80.26062166,14.85567594,15.03161263,88908.1026,418196.2065,372092.0622,400790.1839,372802.3008,17.48134,13.01916,10.08695,8.947015,9.893300056
