ID,Lat_Metro,Lon_Metro,Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
277,40.01689251,-105.2539294,Boulder ,7.581793785,8.074903607,91059.98134,275301.9277,235608.7955,255730.6821,227843.0808,10.4439,9.843188,8.984944,9.152415,6.469749928
203,40.8774433,-111.89161,Bountiful ,7.054017305,8.083596945,73449.68607,240616.2173,233130.1799,247507.6426,190641.7277,9.876978,10.5448,9.15092,8.82003,10.91250038
949,40.190507,-74.06474079,Brickship ,12.46304631,12.76931119,376000.7062,2642713.403,2248541.808,2396263.341,2068362.682,17.39022,13.65546,10.580028,10.68252,6.091619968
972,41.23347258,-73.05220162,Bridgeport,10.86513996,11.40249133,541498.6745,3001693.498,2757543.617,2970235.888,3151646.223,15.06422,12.36244,9.802056,10.464335,7.366010189
1023,42.0900036,-71.02633922,Brockton ,10.30256605,10.7555151,92696.08043,450511.3663,383960.2475,369931.7065,333645.5599,12.06134,10.105154,8.099384,8.50391,4.591469765
246,25.93178203,-97.48193727,Brownsville ,23.65034819,23.63418961,152649.0179,370976.4506,337507.6119,464434.7937,426337.499,14.02636,9.645032,8.130324,9.444515,6.080840111
890,42.9237412,-78.81130882,Buffalo ,8.794063807,9.090383291,615835.9218,9772111.324,9625372.489,9312949.12,5282788.675,14.9821,12.28924,9.591696,10.30295,10.84090042
11,34.22938861,-119.0329294,Camarillo ,16.23272729,17.05357695,65878.92697,115564.4478,100967.6019,108510.4195,101046.8872,17.5371,15.22172,13.71648,15.5254,0
507,26.60188796,-81.92179526,Cape Coral ,23.933846,24.32698441,260980.0628,604581.6828,553674.3956,675995.9744,629095.4032,12.08558,9.135466,6.881682,6.96856,11.04059982
768,35.79585205,-78.81280832,Cary ,15.82902646,16.0485177,101641.6989,154975.2963,159274.8388,256840.2049,238099.5503,17.17908,12.82246,10.11554,8.80979,6.735589981
518,41.99338762,-91.66268216,Cedar Rapids ,10.25229144,10.46697307,148181.0608,509758.2909,443252.4266,462580.3763,444041.8171,16.80646,12.9824,10.999922,12.21745,6.058869839
588,40.11001798,-88.24896826,Champaign ,11.35226727,11.47554684,131654.1423,399310.1639,343941.1092,331417.4485,291317.242,18.88758,12.35984,10.94224,11.518,15.69390011
698,32.86565119,-79.98865943,Charleston ,19.09815121,19.38578939,100422.0249,357473.6806,317959.8767,305532.5487,286383.222,17.53404,12.44684,9.634996,8.783675,8.662119865
707,35.19478888,-80.8479022,Charlotte ,16.35830283,16.56829786,370497.0553,4222924.545,5095555.587,6037405.883,4228945.445,19.05508,13.12654,10.58084,9.521135,5.680620193
484,38.60633443,-90.53697973,Chesterfield ,13.5094142,13.77023435,100875.7448,455217.4759,388235.7,401690.3565,367647.1701,16.26838,11.132204,9.408748,10.50968,27.7961998
312,41.14388031,-104.799819,Cheyenne ,7.681073666,8.395027041,57963.84784,264914.9745,255884.5123,272374.0467,221336.6232,7.5523,6.4518,5.5323,5.837625,7.818349838
634,41.79396274,-87.82253727,Chicago ,10.22556663,10.44071722,6779775.294,93164678.42,82876182.34,82311959.48,65460184.72,18.36028,13.42546,11.93376,12.54255,5.792150021
58,39.7456477,-121.8371626,Chico ,15.13679934,16.17119193,85126.8354,334240.1939,286543.8069,307270.362,275279.5743,11.79311,10.02879,10.106134,10.82488,6.804830074
681,39.2369108,-84.46200196,Cincinnati ,12.19838429,12.43175149,764046.6174,8606238.899,6774873.093,6306984.372,5309938.138,18.77534,14.68338,12.3019,12.8798,10.49839973
790,41.47505094,-81.64622338,Cleveland ,10.21175623,10.2801578,1188874.549,17115431.48,16285626.96,15637508.08,12382651.71,19.54878,15.95676,12.60308,12.686,11.08679962
318,30.62449294,-96.33227462,College Statio ,20.18589306,20.83976984,146758.2115,504618.0343,433243.6184,468977.3534,421116.1226,15.73766,10.8395,7.954266,8.86761,36.67950058
265,38.86368844,-104.7760317,Colorado Springs ,9.605670691,10.36757088,396290.1245,2994216.926,3243011.994,3837953.618,2082876.774,10.177216,8.937694,7.857632,7.739915,15.91709995
877,39.20059963,-76.82144827,Columbia ,13.35398746,13.17422318,105619.3399,572479.0212,514799.7714,621823.9631,559933.6214,18.7354,14.76088,11.39182,11.1444,5.990019798
686,33.99583445,-81.00894634,"Columbia, South Carolina ",17.90881157,18.31964159,148682.8329,606820.2378,529255.2417,503617.8375,468840.7071,20.29946,14.51318,11.65888,10.60025,6.695429802
729,40.0147868,-82.99973942,Columbus,10.57155752,10.69221854,1138151.475,10302875.09,8884251.532,8780882.242,7403380.315,18.55958,15.61564,12.61064,13.06525,9.595950127
18,37.91394614,-122.0483181,Concord ,14.36730981,15.53486609,661553.5774,5232750.436,5862004.939,5813013.619,3938555.29,12.40823,9.917736,9.838932,10.71603,7.754580021
253,27.74286947,-97.40416723,Corpus Christi ,22.38120365,22.89654064,225223.0592,1258590.356,1203833.367,1215517.998,980750.4275,13.320098,8.644316,6.791826,7.35278,14.9744997
652,42.19299625,-88.31451645,Crystal Lake ,9.154064298,9.189346671,141451.4276,228027.8352,207251.8846,328080.8003,296967.1641,17.20728,12.32,11.32076,11.972,5.736989975
856,38.6522132,-77.3140471,Dale ,14.64114547,14.69545531,195201.0748,720056.2176,624976.7212,769736.0289,688803.1601,17.75576,14.43984,10.78258,10.85419,8.187800407
323,32.8573485,-96.96526227,Dallas,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964
541,41.5177227,-90.52810113,Davenport ,10.19542694,10.30153298,226544.4095,1478404.383,1294055.197,1253353.154,1135967.341,16.38442,12.3904,11.05544,12.02875,5.562200069
40,38.55275921,-121.7396426,Davis ,15.95614338,17.08643341,72657.0899,111750.6574,97772.79562,119451.1638,108403.9879,14.12032,10.71736,10.710562,12.5286,6.958010197
702,39.70681987,-84.1833407,Dayton ,11.61927891,11.77290368,341120.0201,4096112.481,3690992.833,3424163.398,2649417.641,18.11108,14.85046,12.08728,13.04855,8.353300095
